职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
369cd2b6846073ba1HF52t2-EFZW,云计算工程师,江西恒迈科技有限公司,0-20人,通信/网络设备,本科,1-3年,"系统运维, IDC机房运维, 实施交付运维, MySQL/Oracle, 计算机相关专业, 通信相关专业, 电子/电气/自动化相关专业, 运维经验, 云计算",5-8K,南昌,,2026-05-24 01:10:47
1cdd4b546600e2581HR62tu4GVZZ,云计算讲师,贵州禾尧科技有限公司,0-20人,互联网,本科,1-3年,"网络运维, 系统运维, 运维开发/DevOps, Redis, MySQL/Oracle, Docker, 计算机相关专业, 运维经验, 运维开发经验",15-20K,黔西南布依族苗族自治州,,2026-05-24 01:10:47
3a04104a4888bce70ndz2tq4FlRW,光纤拉丝工程师,武汉某大型通信/网络设备上市公司,10000人以上,通信/网络设备,本科,1-3年,,20-22K,武汉,,2026-05-24 01:12:10
372b71d71d5473ab0nB43ty0E1FZ,底盘工程师,东风汽车,10000人以上,汽车研发/制造,本科,1-3年,,20-40K,武汉,,2026-05-24 01:12:30
4207d706158dee030nB529i_EFBZ,可靠性工程师,武汉某中型半导体/芯片公司,100-499人,半导体/芯片,本科,5-10年,,23-45K,武汉,,2026-05-24 01:13:14
b9734ed6d956c8960ndy2Ni9FlpW,系统工程师（OS/云平台集成与运维）-武汉,中科曙光,1000-9999人,互联网,本科,3-5年,,30-60K,武汉,,2026-05-24 01:13:14
c4f1e4c267c40b3d0ndy09u9GVpT,底盘工程师,某大型汽车研发公司,500-999人,汽车研发/制造,本科,3-5年,,20-30K·15薪,武汉,,2026-05-24 01:13:14
25db160691081c8a0nB52964EVRY,数据中心运维工程师,鑫恒福,20-99人,互联网金融,大专,1-3年,"达梦DCM, 海量数据库",10-15K,武汉,,2026-05-24 01:13:14
c05c049d857200c80nZ73di8EVRV,运维工程师（大厂外包）,某大型计算机软件公司,10000人以上,计算机软件,本科,3-5年,,15-25K,武汉,,2026-05-24 01:13:34
fee24e502813e0c51XB50tm9EVBX,云运维高级工程师,双彩虹教育,20-99人,通信/网络设备,本科,5-10年,"计算机相关专业, 云运维、华为云运维、天翼云运维",10-11K,武汉,,2026-05-24 01:13:34
975dfa96e4edb9930nV-2d64FFVW,技术支持工程师,九思易,20-99人,计算机软件,本科,经验不限,,13-20K·13薪,武汉,,2026-05-24 01:13:34
852b29afcce0344c0nB529y1ElpV,电商运维工程师,eSUN易生,500-999人,石油/石化,本科,5-10年,,10-15K·13薪,武汉,,2026-05-24 01:13:34
137a0b10ddbe83761HF83tu6GFBS,光模块FAE工程师,超擎数智,100-499人,人工智能,本科,1-3年,"光模块, CMIS, OSFP",12-20K·14薪,武汉,,2026-05-24 01:13:55
72264e3ab23cdaaa0nd42Nq4EVZV,SLAM算法工程师,地大信息,100-499人,计算机软件,本科,3-5年,"ros, 自主定位, 地图构建",15-30K,武汉,,2026-05-24 01:13:55
3d12aad79d8d48e81Hx_3NW4FlFR,标定工程师,瑞立科德斯,100-499人,汽车零部件,本科,1-3年,"性能测试, 功能测试",8-13K,武汉,,2026-05-24 01:13:55
3463d12fd65d5abb03N82Nu6FltY,硬件工程师,武汉蓝电,100-499人,电子/硬件开发,本科,在校/应届,,10-15K·14薪,武汉,,2026-05-24 01:13:55
d2d35748875b987f03x82N-4FVRT,销售工程师,武汉特车,20-99人,专用设备,本科,在校/应届,,4-8K·13薪,武汉,,2026-05-24 01:13:55
232e8503a760474e03J73t66ElFS,上位机工程师,京山轻机,1000-9999人,印刷/包装/造纸,本科,5-10年,,10-15K·13薪,武汉,,2026-05-24 01:13:55
b4125a04eb6e00700nB73N67GVRS,固态变压器工程师,武汉某中型环保公司,100-499人,环保,本科,5-10年,,20-40K,武汉,,2026-05-24 01:13:55
cf495274897c9fb703B439q9EVRV,硬件工程师,东莞铭普光磁,1000-9999人,通信/网络设备,本科,3-5年,"计算机相关专业, 通信相关专业, 硬件开发经验, 机械设计制造相关专业, 光模块, 400G, 800G",28-35K,武汉,,2026-05-24 01:13:55
