职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
39bc4c00fa3b40bc03F52t6_FVVX,云计算网络运维工程师（实习，西昌）,集数,0-20人,计算机服务,大专,经验不限,,3-5K,凉山彝族自治州,,2026-05-23 18:41:09
173f966ef53b91a103J909u-FltV,云计算工程师,屹和,20-99人,咨询,大专,1-3年,,10-15K,潍坊,,2026-05-23 18:41:09
6b30f585e3f6479e0nV53N61GFRU,云计算工程师,弧聚科技,100-499人,互联网,大专,1-3年,国产云平台运维,6-7K,咸阳,,2026-05-23 18:41:09
e9eeef7a4a5d7fe303x80925EVNX,云计算工程师（黄石）,四川准达,1000-9999人,通信/网络设备,大专,3-5年,"OpenStack, CAS, 华三云, 云, IAAS",10-12K,黄石,,2026-05-23 18:41:09
9f79b1d82799116d0nB709q1EFJT,云计算中级工程师,信科,1000-9999人,通信/网络设备,大专,3-5年,,9-10K,拉萨,,2026-05-23 18:41:09
87842fcec3c0e4c20nRy3Ni1FlVR,云计算工程师,嘉环科技,10000人以上,计算机服务,大专,3-5年,"计算机相关专业, 云计算, HCIE",8-13K,云浮,,2026-05-23 18:41:09
e82585f711b282a81Hd93tW-F1FR,云计算工程师,中港科技,500-999人,智能硬件,大专,1-3年,"实施交付运维, 华为云, HCS, openstack",10-15K,天津,,2026-05-23 18:41:09
450698c87c5ed16c1HB529q9ElBQ,云计算工程师,奥怡轩,20-99人,信息安全,大专,1年以内,云计算,5-6K,深圳,,2026-05-23 18:41:09
72029550940eba040ndy0tq_FlVY,云计算运维工程师,绛门科技,500-999人,计算机软件,本科,3-5年,"阿里云, 华为云, k8s",7-8K,西宁,,2026-05-23 18:41:09
0cf6e07ac20fe94e0nB609S1FFNZ,云计算工程师,敬博,100-499人,互联网,大专,1-3年,,11-12K,上海,,2026-05-23 18:41:09
01f4bf1e206eecf70nZ83Nu0E1RQ,云计算工程师,ntt data,1000-9999人,计算机软件,本科,在校/应届,"运维开发经验, 计算机相关专业",7-9K·13薪,无锡,,2026-05-23 18:41:09
c4ee3785e3b136a91XN52d-_GVRV,云计算运维工程师,安徽众晖,0-20人,通信/网络设备,大专,1-3年,"网络运维, 系统运维, IDC机房运维, Python/Shell, Docker, 计算机相关专业, 运维经验, 网络安全相关经验, 华为云, 云计算, 灾备云平台",9-12K,芜湖,,2026-05-23 18:41:09
8fcadc984b4e155f1HF-29u9GVFZ,云计算工程师,峰潮信息,500-999人,计算机服务,大专,3-5年,"实施交付运维, 通信相关专业, 系统运维, 云服务, 华为云, 计算机相关专业, 运维经验, 云计算",14-20K,成都,,2026-05-23 18:41:09
e36ba6c87544b7040ndy0926FFdQ,云计算销售经理（运营商方向）,佑瞻,100-499人,信息安全,大专,10年以上,"政府/社会团体, 软件/企业服务产品, 对企业/机构（To B）销售经验, 网络安全销售, 云计算销售, 运营商",20-40K,绵阳,,2026-05-23 18:41:09
25f453f9a914aab403J42tq1F1tV,云计算工程师,蓝德信诺,20-99人,计算机服务,学历不限,1-3年,"VMware, 售前/售后技术支持, 计算机/通信相关专业, 虚拟化/超融合, 售后支持/客户响应经验, 云计算, 偏售后实施",10-15K,深圳,,2026-05-23 18:41:09
