职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
d66da9ae90ce42dd0nR_2dS9E1RY,VLA算法工程师,至简动力,20-99人,人工智能,本科,3-5年,,25-45K·13薪,北京,,2026-06-04 20:46:19
8a4c480ab825795b0nZ52NW9EVRQ,策略算法工程师,快手,10000人以上,社交网络与媒体,本科,3-5年,"深度学习, 机器学习, 大模型算法, 强化学习, 广告算法, 推荐算法, 自然语言处理算法, C/C++, Python, Java",30-50K·16薪,北京,,2026-06-04 20:46:19
611bef9086723d661nZ83tu4EVM~,算法工程师,华泰安信,20-99人,通信/网络设备,本科,经验不限,"C/C++, 建模, 飞行轨远",20-40K·14薪,北京,,2026-06-04 20:46:19
54968e2a32cc7a620nV639y9ElRW,算法工程师,华为技术有限公司,10000人以上,计算机软件,本科,经验不限,,20-40K·14薪,北京,,2026-06-04 20:46:19
a91cb2ba9589d7400nVy3t69E1tX,算法工程师,京东零售,10000人以上,互联网,硕士,3-5年,,100-150K·20薪,北京,,2026-06-04 20:46:19
84dc20a1e532ae9e0nB_3Ny9E1FU,算法工程师,深蓝学院,20-99人,互联网,硕士,在校/应届,,13-18K,北京,,2026-06-04 20:46:19
2424c2b8b0e1f53c0nd-2Nu1FVVT,VLA算法工程师,某机械设备公司,20-99人,机械设备/机电/重工,本科,1-3年,,30-60K,北京,,2026-06-04 20:46:19
ef5b2655ec95f35f0nV42Nm5EFdQ,算法工程师,西部创源智行数据科技,100-499人,互联网,硕士,在校/应届,"发表算法相关优秀论文, C/C++, 图像算法, 深度学习, 多模态算法, 大数据处理框架(Spark/Hadoop/Hive), 算法工程化经验, 融合感知算法, 参加算法相关竞赛/获奖, 优秀开源项目经历, Python",20-35K,北京,,2026-06-04 20:46:19
5aa0ee1e3707445903J_3tS1FFNZ,地图算法工程师,上海某中型IT专业技术服务公司,500-999人,计算机软件,学历不限,经验不限,"机器学习, 深度学习, 强化学习, 融合感知算法, 多模态算法, 规控算法, 图像算法, SLAM算法, C/C++, Python, Java",40-70K·15薪,北京,,2026-06-04 20:46:19
02c6e6f79cce32450nB_2dS6GFVV,VLA算法工程师,北京渊澈太初智能科技,100-499人,人工智能,本科,1-3年,VLA,40-70K·15薪,北京,,2026-06-04 20:46:19
3a78b12d2f89907d031729y_GFJU,SLAM算法工程师,文远知行,1000-9999人,人工智能,本科,经验不限,,30-50K·15薪,北京,,2026-06-04 20:46:19
52e2181e545b10101Hx82ti-EltU,资深算法工程师,京东集团,10000人以上,电子商务,本科,经验不限,"机器学习, 规控算法, 图像算法, 深度学习, 大模型算法, 自然语言处理算法, 广告算法, 推荐算法",35-65K·20薪,北京,,2026-06-04 20:46:19
7acc5ce923e013b00nB_2di0ElpU,算法工程师,清华大学,1000-9999人,互联网,本科,经验不限,,20-40K,北京,,2026-06-04 20:46:19
4cbf9b26ce203b9d0ndz0tS7F1VR,vla算法工程师,北京某中型人工智能公司,100-499人,人工智能,学历不限,经验不限,,90-120K·15薪,北京,,2026-06-04 20:46:19
d87a95216a11c2741nxz2NW4E1JR,算法工程师,北京字节跳动,1000-9999人,互联网,本科,经验不限,"数据分析, 算法设计",30-40K·15薪,北京,,2026-06-04 20:46:19
93fa7c4dd87889f00nV72dW4FlBZ,算法工程师,华为,10000人以上,计算机软件,本科,,,350-700元/天,北京,,2026-06-04 20:46:41
0278ef5ec0ea48ee0ndz3N2-FltV,算法工程师,深圳市新凯来技术,1000-9999人,电子/半导体/集成电路,硕士,经验不限,"图像算法, 规控算法, SLAM算法, C/C++, Python, MATLAB",30-60K·15薪,北京,,2026-06-04 20:46:41
