职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
281e5f355830eb4403V939q9FFRZ,数据挖掘工程师,北京工信研拓技术...,0-20人,其他专业服务,本科,经验不限,"大数据处理经验, 计算机相关专业, 机器学习经验, 自然语言处理经验, 用户画像/标签体系相关经验",20-30元/时,北京,,2026-06-04 17:05:07
df083eca7d3946e10nd82t-9ElVU,数据挖掘工程师-北京/上海/苏州,某大型汽车研发/制造上市公司,10000人以上,汽车研发/制造,本科,5-10年,C/C++,55-80K·15薪,北京,,2026-06-04 17:05:07
c199361b859e1585031z292_FVNR,数据挖掘工程师(J13636),神州租车,10000人以上,生活服务(O2O),本科,5-10年,,30-40K·14薪,北京,,2026-06-04 17:05:07
8880c61964eaadcb0nB53N28FlRX,数据挖掘算法工程师,长城汽车,10000人以上,汽车研发/制造,本科,3-5年,,20-30K·15薪,北京,,2026-06-04 17:05:07
4ec328fb1bd78c3a0nB83Nq7GFdQ,大数据分析工程师,泽云安科技,20-99人,计算机服务,大专,1-3年,"Python, SQL, 数据分析/挖掘经验",8-10K,北京,,2026-06-04 17:05:07
74f0501d0dde1a0e0nR_2Ni9FVNW,26校招-机器学习/数据挖掘算法工程师,百度,10000人以上,互联网,硕士,在校/应届,,30-40K·16薪,北京,,2026-06-04 17:05:07
2edda1447edf109c0nd93Nq0FFNU,国研数字-数据挖掘工程师,国研数字,100-499人,计算机软件,本科,3-5年,"数学/统计相关专业, 大数据处理经验, 预测分析, 分类算法, 关联分析, 协同过滤, 聚类算法",12-20K,北京,,2026-06-04 17:05:07
807d4e418e7d8dba03Z93Ni1GVNU,大数据工程师,北京擎天创世科技,20-99人,互联网,本科,3-5年,Hive,15-20K·13薪,北京,,2026-06-04 17:05:07
16d9864aabf5a9be1nF909S4FlZQ,数据挖掘工程师,京东科技集团,1000-9999人,互联网,硕士,经验不限,"Python, 机器学习算法, Spark, Hadoop, Flink",35-65K·13薪,北京,,2026-06-04 17:05:07
235602e803d33c5a0nR809m5GVtV,大数据运维工程师,中数睿智,100-499人,计算机软件,学历不限,3-5年,,13-20K,北京,,2026-06-04 17:05:07
fc6aa9a185a94e250nZ739u1F1FU,数据挖掘工程师,美团,10000人以上,互联网,本科,3-5年,,25-50K,北京,,2026-06-04 17:05:07
419bd1a8e8034e8a03J-39-7EVpX,网页数据挖掘工程师实习生,智谱华章,500-999人,互联网,本科,,,150-200元/天,北京,,2026-06-04 17:05:07
a3e8a8b0fd5e8d6f0nB-0tu_EFpU,急招：Java高级开发工程师(对大数据有了解),北京酷克软件有限公司,20-99人,大数据,学历不限,经验不限,,13-23K,北京,,2026-06-04 17:05:07
66d83c58b86143c91XF_2t69E1Y~,数据挖掘工程师岗,京东世纪贸易有限公司,10000人以上,互联网,本科,1-3年,"Hive, ETL, 数据仓库",12-20K,北京,,2026-06-04 17:05:07
ac56bb3992ccf22c0nV42dW8E1NS,数据分析师,北京安云创,0-20人,通信/网络设备,本科,1-3年,"机器学习建模经验, R, Power BI, 数据分析/挖掘经验, Tableau, 计算机相关专业, SQL, Python, 数学/统计相关专业",8-12K,北京,,2026-06-04 17:05:07
50ccfc31aa85990f031509-8GFpV,数据挖掘工程师,滴滴,1000-9999人,互联网,学历不限,,"Java, C/C++, Hive, 大数据处理经验, 自然语言处理经验, 机器学习经验, Spark, 计算机相关专业, Python, 数学/统计相关专业",350-400元/天,北京,,2026-06-04 17:05:27
6a5d7d0b52aaaf3e031y0ty0FlpS,智能数据挖掘工程师,中科院信工所,1000-9999人,信息安全,硕士,在校/应届,,13-20K,北京,,2026-06-04 17:05:27
fa2011792150dfc503xz39W-FlZZ,数据库工程师,中电信数智,1000-9999人,通信/网络设备,大专,1-3年,,11-12K,北京,,2026-06-04 17:05:27
daafa0c5f430c5dc03J93NW0EVRW,数据挖掘算法工程师,埃克斯工业,100-499人,半导体/芯片,硕士,经验不限,,15-30K,北京,,2026-06-04 17:05:27
3750e22f5234463d03B73dy9EFBQ,高级数据挖掘工程师,京北方信息,10000人以上,互联网金融,本科,5-10年,"Java, Python, Storm, 计算机相关专业",14-22K,北京,,2026-06-04 17:05:27
e16c1592126c0c470nB_2d69EFtS,产品技术支持工程师、大数据/人工智能方向,北京中云国创数据...,20-99人,在线教育,大专,3-5年,,8-12K·13薪,北京,,2026-06-04 17:05:27
ee3e30a91a7908090nZ92ty0FltV,数据挖掘工程师,APUS,100-499人,互联网,本科,3-5年,"Java, 数学/统计相关专业, 大数据处理经验",15-25K·14薪,北京,,2026-06-04 17:05:27
e0e691030afb66bd1X1y3tm6EFdU,数据挖掘工程师,清雷,20-99人,医疗健康,硕士,1-3年,"Python, 数据分析/挖掘经验, HMM, LSTM, numpy",18-25K,北京,,2026-06-04 17:05:27
ed12801b4ddee7700ndy2NS-FFVT,大数据工程师,银兴智能数据,20-99人,大数据,本科,1-3年,"接受无数据开发经验, CDH, Hadoop, 大数据平台, 大数据运维, CDP",14-28K,北京,,2026-06-04 17:05:27
86c200784d7470d20nB_09-5EFdY,驻场大数据实施工程师（医疗行业）,新华三技术有限公司,10000人以上,计算机软件,大专,5-10年,"要求数据开发经验, 数据平台开发经验, Python, Java, ETL开发经验, 数据治理经验, 医疗行业经验, MySQL/SQL Server, Oracle, HIS, BR",13-16K,北京,,2026-06-04 17:05:27
fe18150346d2496d0nB929--ElFS,大数据开发运维工程师,北京禾东医疗科技,0-20人,医疗健康,大专,3-5年,"要求数据开发经验, 数据平台开发经验, 数据仓库开发经验, 大数据引擎开发经验, 数据库内核开发经验, 其他数据开发经验, Java, SQL, Scala, Spark, MySQL/SQL Server, Spark原理/源码, PostgreSQL原理/源码, BI报表开发经验, 实时数仓开发经验, 数据治理经验, 数据建模经验",10-11K,北京,,2026-06-04 17:05:27
bb776ba1502fd0d70nZ93N2-FlZS,人工智能算法专家（数据科学数据挖掘专家）,某能源行业知名国企,1000-9999人,计算机服务,硕士,5-10年,,30-50K·18薪,北京,,2026-06-04 17:05:27
70a13f8c1435cd150nd43d68EVtQ,数据挖掘与分析工程师,路凯智行,100-499人,智能硬件,硕士,,,250-300元/天,北京,,2026-06-04 17:05:27
dd738f523c78781d03R909y1EltS,dba数据库工程师,博亚思,20-99人,互联网,本科,1-3年,"Shell, DBA工作经验, DB2, 熟悉Linux/Unix系统, 计算机相关专业, Python",9-14K,北京,,2026-06-04 17:05:27
fb319b7d7a7848cd0nZ_09q5E1ZS,高级漏洞挖掘工程师,湖南安锐信,0-20人,信息安全,学历不限,经验不限,,20-40K,北京,,2026-06-04 17:05:27
2a0e90c288a7c00303N429i8E1ZX,【Map】地图数据挖掘/机器学习算法工程师,Shopee,1000-9999人,电子商务,本科,3-5年,"C/C++, Java, 搜索算法, 深度学习, 大模型算法, 广告算法, 推荐算法, Python",40-60K,北京,,2026-06-04 17:05:50
e63c2fbde91c177a1Xx829i6GFZY,数据挖掘,奇虎360,1000-9999人,互联网,学历不限,经验不限,"C/C++, Python, Spark, 大数据处理经验, 机器学习经验",20-40K·15薪,北京,,2026-06-04 17:05:50
ba90e2543ff0d9c60nZ62Ny_GVtR,大数据开发工程师（线上面试-周末双休）,深圳中迈,500-999人,计算机服务,本科,3-5年,"要求数据开发经验, MySQL/SQL Server, BI报表开发经验, 数据平台开发经验, Python",14-17K,北京,,2026-06-04 17:05:50
0fb04ac98a155f6103dz2N-7EFVW,信贷风控算法工程师—数据挖掘方向,某大型互联网金融公司,1000-9999人,互联网金融,本科,经验不限,,30-45K,北京,,2026-06-04 17:05:50
f64546a4f5e739b20nB_09-1FFE~,数据挖掘,今朝在线,20-99人,移动互联网,学历不限,经验不限,数据分析,14-18K,北京,,2026-06-04 17:05:50
2de113124e1bcf770ndz3dW_EFRT,大模型数据算法工程师,北京某中型金融科技公司,500-999人,互联网,本科,经验不限,Python,40-70K·16薪,北京,,2026-06-04 17:05:50
496a37ff001974601XJ_39i5E1ZW,数据挖掘工程师,元保数科,500-999人,互联网,硕士,经验不限,"挖掘, 增长, 运营",30-60K·15薪,北京,,2026-06-04 17:05:50
ea6cbce26c2a4a640nR_2N2_E1tS,数据中心网络工程师-外派大厂包三餐,软通动力,10000人以上,计算机软件,大专,3-5年,"TCP/IP路由协议, 数据中心网络, 网络故障分析调试能力",11-20K,北京,,2026-06-04 17:05:50
9cbd02f32d3c957d0nB-3di5EVdT,多模态数据交付工程师,悦智人工智能,1000-9999人,互联网,大专,3-5年,"深度学习, 大模型算法, 多模态算法, 传统图像算法, 图像处理库（OpenCV等）, 图像生成, Python",12-19K,北京,,2026-06-04 17:05:50
4a3bd2c1fe39133203163dy_E1VX,高级大数据挖掘工程师,沃东天骏信息技术,10000人以上,互联网,本科,3-5年,,30-60K·19薪,北京,,2026-06-04 17:05:50
d7cc14bcee13da3e0nZ83tu9GVRR,数据库工程师,山东华科,500-999人,互联网,本科,3-5年,,14-15K,北京,,2026-06-04 17:05:50
2ed518e091e7c1740nd42ty9FVdV,数据挖掘专家-POI方向,小红书,1000-9999人,电子商务,本科,经验不限,,30-60K·16薪,北京,,2026-06-04 17:05:50
4a51a4f552cc6c7f1XF62N-7FlRZ,数据恢复工程师学徒,东方护航数据恢复技术,0-20人,大数据,学历不限,经验不限,"企业内部IT技术支持, IT技术支持经验, 计算机/通信相关专业, MySQL/Oracle",5-8K,北京,,2026-06-04 17:05:50
588582457df3c49b0nB439q7FVRU,高级数据挖掘工程师,北京万联易达科技,1000-9999人,互联网,本科,5-10年,"Java, Python, C/C++, 用户画像/标签体系相关经验",25-50K·13薪,北京,,2026-06-04 17:05:50
82de22ca1d5d90250nB53N28FFJT,数据产线挖掘工程师,保定某大型汽车研发/制造上市公司,10000人以上,汽车研发/制造,本科,10年以上,"汽车, 数据产线, rosbag 解析, 传感器数据处理",30-60K·15薪,北京,,2026-06-04 17:05:50
