职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
ba672d053501befb03By2dW0FldV,全栈开发实习生,歪果仁,0-20人,互联网,本科,,,200-250元/天,北京,,2026-06-08 23:24:33
bbb18c2c10aecca00nd439u9FltT,AI Native 全栈工程师,北京雷石天地电子技术,100-499人,计算机软件,本科,经验不限,"全栈无侧重, 计算机相关专业, 全栈项目经验, AI, Agent, github, Claude Code / Cursor",40-60K,北京,,2026-06-08 23:24:33
1661845b06792f5c0nB_2t69E1ZY,AI 全栈工程师 / AIGC 应用开发工程师,镜像效应,20-99人,音乐/视频/阅读,本科,1-3年,,15-30K,北京,,2026-06-08 23:24:33
e7f6a774c978f1de03J_2tu7FFpV,全栈工程师,卷积科技,20-99人,计算机软件,本科,,,200-250元/天,北京,,2026-06-08 23:24:33
e4dd65560bf67edc0nZ73d-_ElpW,初级全栈开发工程师,拓尔思,1000-9999人,计算机软件,本科,经验不限,,16-25K,北京,,2026-06-08 23:24:33
2b4140440d45b4ea0nB73NS-F1FT,全栈开发工程师,独立说,100-499人,互联网,本科,3-5年,,18-30K,北京,,2026-06-08 23:24:33
2b1b10dc468635470nd63d29GVJR,高级全栈工程师,北京思凯乐科技,0-20人,互联网,本科,,,200-300元/天,北京,,2026-06-08 23:24:33
d96df5493a7bdb4e0nV_2dW-GFpW,全栈工程师,北京恒久互联,0-20人,计算机软件,本科,3-5年,,10-13K,北京,,2026-06-08 23:24:33
7b191aac967dbbde0nB-2N28GVtW,全栈工程师,班级小管家,20-99人,互联网,本科,1-3年,,20-30K,北京,,2026-06-08 23:24:33
fd7631969d4d9a131HJ92du7EVBQ,全栈工程师,九图科技发展有限公司,20-99人,互联网,本科,5-10年,"档案管理, Java, 全栈工程师, CSS, Spring/Spring Boot, 档案数字化, Vue, MyBatis, 全栈无侧重, React, 全栈项目经验",9-14K,北京,,2026-06-08 23:24:33
8df58d1fd9d4fddb0nB62tm6EltY,兼职全栈工程师,北京博锐捷科技,0-20人,培训/辅导机构,本科,5-10年,"后端开发经验, 全栈侧重后端, PHP, 全栈侧重前端, 前端开发经验, 全栈项目经验",1000-10000元/月,北京,,2026-06-08 23:24:33
811d8ae1da0a64a81XV62t21GVRU,全栈工程师,点事晨金,0-20人,互联网,本科,1-3年,"全栈开发, Go, 全栈侧重前端, Node.js, 英语读写能力良好, Python",35-45K,北京,,2026-06-08 23:24:33
1cc09529bd42b5e70nB429y_F1NY,AI Agent 全栈工程师,大虫智链,0-20人,互联网,本科,,,140-150元/天,北京,,2026-06-08 23:24:33
997f8619cde560c50nB72tW7GVFR,全栈工程师,中科融信创,20-99人,计算机软件,本科,3-5年,"网络运维, 后端开发经验, 机房运维, 信创项目, 计算机相关专业, 前端开发经验, 全栈项目经验",15-21K,北京,,2026-06-08 23:24:33
