职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
ddbb29227de3d5191nR62Nu9EltV,Java开发工程师,杨娜科技,0-20人,互联网,大专,5-10年,"Java, 分布式技术, 微服务架构, Linux, 软件工程师, PC端, MySQL",11-22K,北京,,2026-06-07 15:19:54
df0b441f9009897b0nB73NW1ElJV,Java开发工程师,BOSS直聘,1000-9999人,人力资源服务,本科,1-3年,"Java, Netty, JVM, MySQL, Redis, IM",25-45K·14薪,北京,,2026-06-07 15:19:54
1636da4f923719ee1HVy3t64E1tX,java开发工程师,神州信息,10000人以上,计算机软件,本科,5-10年,"Java, 银行, SpringCloud, Redis, 网银",15-17K,北京,,2026-06-07 15:19:54
0d8fbc71c6e2122c03F43dq-GVtS,Java开发工程师,粉笔上岸,1000-9999人,在线教育,本科,1-3年,"Java, SpringCloud, MySQL, Kafka, Redis, Spring",25-45K·14薪,北京,,2026-06-07 15:19:54
741074a06afce92b0nd_39W1GVVY,java开发工程师,开科唯识,1000-9999人,计算机软件,本科,3-5年,,14-16K,北京,,2026-06-07 15:19:54
81a0f64e579603c103V43d2_FFNV,java 开发工程师,九章信安,20-99人,信息安全,本科,1-3年,"Java, C++, MySQL, 可兼职, Spring",4-6K,北京,,2026-06-07 15:19:54
da33623dd5444f6f0nB43NW4E1dU,java开发工程师,蜂窝在线,0-20人,计算机软件,大专,3-5年,,9-11K,北京,,2026-06-07 15:19:54
f8414e25c2eb9e3303Fz2NS0FlpT,Java,新东方,10000人以上,在线教育,本科,5-10年,"Java, Zookeeper, MySQL",25-30K,北京,,2026-06-07 15:19:54
51208f146d2ed39c1nN_3N2-FFBQ,JAVA研发工程师,融信易安,20-99人,大数据,本科,3-5年,"JVM, Java, CSS, 全栈开发, SpringCloud, SpringMVC, HTML, SpringBoot, Spring, MySQL, MongoDB, 后端开发, 高级软件工程师",12-15K,北京,,2026-06-07 15:19:54
dfaf19540fe920111HV_39-9ElVV,Java工程师,云溪数科,20-99人,计算机软件,学历不限,5-10年,"后端工程师, Java, Spring, MyBatis, Java开发经验, 计算机/软件工程相关经验, 分布式系统开发经验",10-15K,北京,,2026-06-07 15:19:54
765d91599a5b819203152tm9F1ZY,java开发工程师,软通动力,10000人以上,计算机软件,大专,5-10年,"不接受居家办公, Spring, SpringCloud, Java, 电商",11-16K,北京,,2026-06-07 15:19:54
f07b6f00008706773nd_0t68FVM~,Java开发工程师,曜志科技,0-20人,计算机软件,学历不限,5-10年,"Linux, Java, 分布式技术, 服务器配置, 数据结构, Spring",11-14K,北京,,2026-06-07 15:19:54
8cfa0e4a379b4f221Xd62N--E1dX,Java开发工程师,高伟达公司,1000-9999人,计算机软件,本科,3-5年,"Maven, GIT, Eclipse, 分布式技术, Dubbo, 网络协议, Spring, SQL",14-15K,北京,,2026-06-07 15:19:54
9f71582489af7bde0nB93926E1RZ,Java开发工程师,尚科数据无锡有限公司,0-20人,计算机服务,本科,5-10年,Java,16-21K,北京,,2026-06-07 15:19:54
dd5cc33f039da95f0nV539u5ElFY,JAVA开发工程师（2026年应届生）,中科江南,1000-9999人,计算机软件,本科,1年以内,"Java, Spring, SpringCloud, MySQL, Redis, Oracle",11-20K,北京,,2026-06-07 15:19:54
1fe04c8785885f130nB92NS7FVFQ,java开发工程师（AI、文旅经验）,软通动力,10000人以上,计算机软件,本科,3-5年,"Java, 不接受居家办公, PostgreSQL, SpringCloud, Kafka, ai, Redis, Dubbo, Spring, 文旅, 微服务经验, Zookeeper, MySQL, MongoDB",10-14K,北京,,2026-06-07 15:20:13
311734347eecdd6d0nZ93dW_FVFQ,资深java研发工程师,深圳灵动,100-499人,互联网金融,本科,5-10年,"Java, MyBatis, 不接受居家办公, MySQL, 分布式经验, 交易项目经验, 互联网背景, TPS3万以上, 内存化",25-50K·15薪,北京,,2026-06-07 15:20:13
ed2a2b1155fd7a161H183Nm4FVRR,java开发工程师,京东物流,10000人以上,电子商务,本科,5-10年,"Java, Spring, SpringCloud, MyBatis, Kafka, Dubbo, MySQL, Redis",25-50K·16薪,北京,,2026-06-07 15:20:13
510cbc5da3f886bf1HF9392_F1BT,java开发工程师,中科软,10000人以上,计算机软件,本科,5-10年,"Java, 性能调优, 高可用系统, SpringCloud, MySQL, 微服务架构, 架构设计经验, Spring",15-16K,北京,,2026-06-07 15:20:13
05cc83df4a7f42d70nB93dm6FlBT,java开发工程师,南京记卡时光科技,0-20人,游戏,本科,5-10年,"Java, Spring, SpringCloud, MySQL, 微服务经验",13-16K,北京,,2026-06-07 15:20:13
f060efe8ca961d6103Jz3N25E1NS,Java开发工程师,纬致科技北京,10000人以上,计算机软件,大专,5-10年,"Java, 商城电商, saas, MySQL, Spring",15-21K,北京,,2026-06-07 15:20:13
7963bc22900844b20nV82929FVZQ,Java开发工程师,中国医学论坛报社,100-499人,新闻/出版,本科,3-5年,,20-30K,北京,,2026-06-07 15:20:13
fe04253d6a929e940nR92ti6GFdS,java开发工程师,好故事文化传媒,20-99人,计算机软件,大专,5-10年,,10-14K,北京,,2026-06-07 15:20:13
36782145df4d8ec80nB429W6ElNV,技术研发岗/前端/后端/devops工程师,法信数智科技有限公司,100-499人,人工智能,本科,3-5年,"不接受居家办公, Java, 团队管理经验, 架构设计经验, 大型系统架构设计经验",15-30K,北京,,2026-06-07 15:20:13
2e01cfed747dab170nZ93N21FlFT,Java工程师,广州三辰,20-99人,互联网,大专,3-5年,"Java, SpringCloud, MySQL",13-18K,北京,,2026-06-07 15:20:13
331e01f0227264da0nZ709S9EVJX,Java开发工程师,百得思维,1000-9999人,计算机软件,大专,5-10年,"云原生, Java, devops, SpringCloud, MySQL",17-18K,北京,,2026-06-07 15:20:13
557eb2612709c62f0nZz2tW-FVFY,JAVA开发工程师(J10703),北京银霖通科技,100-499人,互联网,本科,1-3年,,12-24K,北京,,2026-06-07 15:20:13
f661a97b63b784450nB40960FlZS,java开发工程师,航天驭星,500-999人,通信/网络设备,本科,3-5年,,15-25K·13薪,北京,,2026-06-07 15:20:13
3f757d5a5102694a03N62t24FFJQ,java开发工程师,Momenta,1000-9999人,互联网,硕士,,"Java, Spring, SpringCloud, MyBatis, MySQL, Redis, Oracle",350-360元/天,北京,,2026-06-07 15:20:13
2b503c80022f69790nB62dy9F1FT,Java开发工程师,北京四时拓界科技,0-20人,计算机软件,本科,1-3年,"Java, SpringCloud, MySQL, Spring",9-10K,北京,,2026-06-07 15:20:13
0ec5904d0263a42303N82Ni9GFtY,java开发工程师,千面科技,20-99人,计算机软件,本科,3-5年,"Java, SpringCloud, MySQL, Redis",25-45K·13薪,北京,,2026-06-07 15:20:35
613be71b37f50ea103R70969FFdV,Java开发工程师,元保数科,500-999人,互联网,本科,经验不限,"Java, MySQL, Redis, Spring",25-45K·15薪,北京,,2026-06-07 15:20:35
b5e7d9923f06926f03N60tS6FVtW,java工程师,北京芯之力科技,0-20人,计算机软件,本科,1-3年,"Java, Spring, MyBatis, Hibernate, Tomcat, Nginx, MySQL, Oracle",6-11K,北京,,2026-06-07 15:20:35
af1afe41365078001X1709i1ElpU,JAVA开发工程师,北京南天软件有限公司,1000-9999人,计算机软件,本科,5-10年,"Java, 不接受居家办公, 分布式经验, 微服务经验, 银行, SpringCloud, MySQL, Redis",11-13K·13薪,北京,,2026-06-07 15:20:35
