职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
d3d647bcd4b7b3c80nR80ti4EFRZ,AI领航员-大装置-大模型算法应用开发工程师,SenseTime,1000-9999人,计算机软件,本科,在校/应届,,20-30K,北京,,2026-06-07 15:19:45
3e19428c9247988b03xz2dq7FVpR,大模型应用开发工程师,中科大脑,500-999人,人工智能,本科,1-3年,,23-28K·14薪,北京,,2026-06-07 15:19:45
4b749f167b5ac7130nB43Nu5EFJV,AI大模型应用开发,迪原创新,100-499人,计算机软件,大专,3-5年,"Python, AI Agent, 包三餐",13-15K,北京,,2026-06-07 15:19:45
7d1434d8e2d45cfc031_09q7EFtV,大模型应用开发工程师（日常实习）,宽德投资,100-499人,基金,本科,,"C++, Python",600-800元/天,北京,,2026-06-07 15:19:45
2ec9b09c92a35fd90nV92tS5ElNV,大模型应用开发实习生（LLM / Agent 方向）,创新奇智,500-999人,计算机服务,本科,,,100-200元/天,北京,,2026-06-07 15:19:45
31ce6bd449a61e340nZ_2Ni9FFRU,大模型应用开发工程师,中科院信工所,1000-9999人,信息安全,本科,经验不限,,10-15K,北京,,2026-06-07 15:19:45
a90605b1ca9c2e580nZ70t20GFRS,大模型应用开发,拜伦科技,100-499人,其他行业,本科,3-5年,,16-18K,北京,,2026-06-07 15:19:45
07f3a828a112e7950nB729m9EldX,大模型应用开发,国安信息科技,100-499人,计算机软件,大专,3-5年,"python, 大模型",11-15K,北京,,2026-06-07 15:19:45
9d7382769c1b6c980ndy0ti-GVZS,大模型应用研发岗,某大型银行公司,500-999人,银行,本科,经验不限,,35-45K,北京,,2026-06-07 15:19:45
f2ea2760b51e846b03xz0tS1FVtU,大模型应用开发工程师,图安世纪,100-499人,计算机服务,本科,,"Agent, 智能体开发, LangChain, LangGraph",100-200元/天,北京,,2026-06-07 15:19:45
83d8fb7bacf46afe0nB92ty4ElJY,大模型应用开发实习生,等贤科技,20-99人,人工智能,本科,,"Python, PyTorch, Docker, MySQL, Redis, Oracle, MongoDB",300-600元/天,北京,,2026-06-07 15:19:45
a6974f82f7137a970nd62ti6FFNY,大模型应用开发工程师,北京天域盛业,20-99人,智能硬件,大专,3-5年,"Python, Linux开发/部署经验, Agent, LangGraph, DeepAgents",18-22K,北京,,2026-06-07 15:19:45
7ce9f51d8607e2880nB83NW1GVRU,大模型自动化评测【ai应用开发/算法】,上海思芮,1000-9999人,计算机软件,本科,1-3年,"大模型算法, 深度学习, 多模态算法, Python, Java, SQL, ai应用开发, 模型调优, Prompt Engineering, 自动化评测",11-18K,北京,,2026-06-07 15:19:45
44dbe82d5cee293d03190t-_FFtQ,大模型应用开发工程师-头部私募,某大型投资公司,100-499人,投资/融资,本科,经验不限,"大模型, 多模态, agent",35-65K,北京,,2026-06-07 15:19:45
3c483a991002b31d0ndy39S_EVBU,AI 应用开发工程师（Python / 大模型应用）,蓝犀牛,100-499人,生活服务(O2O),本科,3-5年,,18-25K·13薪,北京,,2026-06-07 15:19:45
d5a98b840271dbde1H142d2_EFBX,大模型应用开发工程师,壹凯科技,20-99人,人工智能,本科,1-3年,,20-35K,北京,,2026-06-07 15:20:06
e3b6328f2be4668403xy3Ny0EVtX,大模型应用开发实习生【北京】,北大方正电子,1000-9999人,计算机软件,本科,,"Python, Django, Docker, TensorFlow, PyTorch, Deepseek, qwen, 大模型",160-200元/天,北京,,2026-06-07 15:20:06
1c88a0bd853a5b3b0nZ609m9EFNV,大模型应用开发工程师,北京太初智能科技,20-99人,人工智能,本科,在校/应届,"不接受居家办公, Java, Python, 其他, Spring, MyBatis, Nginx, Docker, JVM, MySQL, PostgreSQL, Hive, Hadoop, 架构设计经验, 分布式经验, 微服务经验, 云计算经验, 大数据经验, AI应用, 大模型, Agent",15-30K,北京,,2026-06-07 15:20:06
a58ade0e72e163850nR639S-FlBU,AI 大模型应用开发工程师,猿印,20-99人,在线教育,本科,1-3年,"AI, LLM, Agent, 大模型",30-60K·15薪,北京,,2026-06-07 15:20:06
a4ed1b4a0c7185be0nB509-0GFZX,AI Java开发工程师（大模型应用方向）,谷器数据,100-499人,物联网,本科,3-5年,"Java, Spring, SpringCloud, MySQL, 大模型, AI",20-30K,北京,,2026-06-07 15:20:06
ed9163aeee59e57d03J70t27FFRY,大模型应用开发前端/后端,北京智九咨询,0-20人,咨询,本科,经验不限,AI开发,15-18K,北京,,2026-06-07 15:20:06
3101853de28124230nd72ty5EFpZ,大模型应用开发,京北方,10000人以上,互联网金融,本科,5-10年,,20-30K,北京,,2026-06-07 15:20:06
caac0a9b9d5f271103J52N-5GFJU,大模型应用开发工程师,北京南天,1000-9999人,计算机软件,本科,3-5年,,14-18K,北京,,2026-06-07 15:20:06
125e23b175da3b1d0nB_3dW1E1tU,大模型应用开发工程师,同方智科,100-499人,电子/半导体/集成电路,本科,3-5年,,20-30K·14薪,北京,,2026-06-07 15:20:06
2cfcfb4f9219894c0nR72tm7ElZR,大模型开发实习生,爱学习教育集团,1000-9999人,在线教育,本科,,,350-450元/天,北京,,2026-06-07 15:20:06
780193abfbf4e7120nd_39S8E1dU,Agent和大模型应用开发,某汽集团中型汽车研发/制造公司,100-499人,汽车研发/制造,硕士,经验不限,,30-60K·13薪,北京,,2026-06-07 15:20:06
818b65cfc78683b803V53Ni7E1FV,AI大模型应用开发,合力云通,20-99人,互联网,本科,,"Java, Nginx, MySQL, Linux开发/部署经验, Python",200-400元/天,北京,,2026-06-07 15:20:06
eff9c0eb662b404c0nd42d29ElFX,多模态大模型应用算法工程师-视觉技术团队,高德地图,1000-9999人,互联网,硕士,经验不限,,30-60K·16薪,北京,,2026-06-07 15:20:06
086d3c27f47ecffb0nd509u1FVJS,大模型应用开发工程师,华控清交信息科技...,100-499人,互联网,本科,3-5年,,25-35K,北京,,2026-06-07 15:20:06
2c543ab950c6b3150nV_09-1EltS,AI大模型应用营销开发工程师AI Agent方向,中创时代,100-499人,互联网,本科,3-5年,Java,9-12K,北京,,2026-06-07 15:20:06
fac4c38715866f5d0nB43Nu5GFZX,算法/AI应用开发/大模型架构/安全漏洞/AI,某大型互联网安全公司,1000-9999人,互联网,本科,经验不限,"TypeScript, 大模型架构, AI应用开发, 安全漏洞, 算法",40-70K,北京,,2026-06-07 15:20:27
bfabf317d63aaa870nd42Nm9GFVT,大模型应用开发工程师,华巨教育,100-499人,培训/辅导机构,本科,1-3年,,13-20K,北京,,2026-06-07 15:20:27
8f1c5f61ab8bc16903B-3t6_EVtY,大模型应用开发工程师-北京,快手,10000人以上,社交网络与媒体,本科,经验不限,"Agent, RAG, 微调, Prompt, 强化学习, LLM",30-60K·16薪,北京,,2026-06-07 15:20:27
a17215c7f7f1e7bb0ndy29q_EVVQ,大模型方向算法工程师-微调与应用方向,某大型知名物业管理上市公司,10000人以上,物业管理,本科,3-5年,"LLM, 大模型, 端到端, agent, Python编程",40-70K·15薪,北京,,2026-06-07 15:20:27
95f4c6274683ebeb03170tu5EFpQ,大模型应用开发工程师,北京快乐无限技术...,0-20人,互联网,本科,3-5年,,15-25K,北京,,2026-06-07 15:20:27
4024b03c136779e603N929i6EFtV,大模型应用开发主管,北京国网联信科技,20-99人,运营商/增值服务,本科,1-3年,,25-45K,北京,,2026-06-07 15:20:27
057486de0bc8143e0nB-3t6_F1BW,Java开发+大模型应用实习生,智能思创,20-99人,互联网,本科,,"Java, SpringCloud, Docker, MySQL, Redis, RAG, Agent框架, LLM API",200-300元/天,北京,,2026-06-07 15:20:27
c6f9fde0828fabff0nB52t20FFpS,AI大模型运维开发SRE专家,某大型电子商务公司,500-999人,电子商务,本科,经验不限,"运维, 运维开发, 稳定性, 大模型, 集群, GPU, 监控, AI",45-70K·16薪,北京,,2026-06-07 15:20:27
8eb43fd8048f77ae0nB70tm5E1VU,大模型应用开发工程师【可培养】,新华移动,100-499人,互联网,大专,3-5年,"Python, Django, MySQL, 爬虫经验",10-15K,北京,,2026-06-07 15:20:27
bb88b1718ccd1fbf03J73925EFRX,后端开发实习-大模型应用方向,滴滴,1000-9999人,互联网,本科,,"Golang, Java, Hive, PyTorch, Hadoop, Spark, Python",200-250元/天,北京,,2026-06-07 15:20:27
31f761ba4d7ed47003x73dW7ElRQ,大模型应用开发,北京向量纪元科技,500-999人,人工智能,本科,5-10年,,35-45K,北京,,2026-06-07 15:20:27
0a3a37a2a97e715f03N839W-GFpW,大模型应用开发实习生,360集团,1000-9999人,互联网,硕士,,"机器学习, 大模型算法, 模型加速/性能优化",150-200元/天,北京,,2026-06-07 15:20:27
6bac7048ed7b7c9903N62N27EFJR,大模型应用开发工程师,中车数字,500-999人,自动化设备,本科,1-3年,,15-30K,北京,,2026-06-07 15:20:27
8f484448a700b1ca0nZ-39W7EVdQ,大模型应用开发（rag agent外派帮安迪）,联创世界,100-499人,计算机软件,本科,3-5年,"agent, rag",14-15K,北京,,2026-06-07 15:20:27
150a9e490d42d48d0nB839W7E1BV,大模型应用产品研发岗位,行至智能,100-499人,互联网,本科,1-3年,"Java, Python, 团队管理经验, 不接受居家办公, 大模型, 产品研发",15-25K,北京,,2026-06-07 15:20:27
301d14524c90c6890nV929W4ElNQ,大模型开发工程师(AI应用方向),悦享星光,100-499人,互联网,本科,1-3年,"大模型应用, PyTorch, Hugging Face, 模型轻量化, Python, MCP, RAG, Agent",20-35K,北京,,2026-06-07 15:20:48
