职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
0b77318727962fd40nB52Nq4F1tX,Agent工程师（原提示词工程）,北京元理无限科技,20-99人,人工智能,本科,1-3年,"B端产品, 上下文",15-30K·14薪,北京,,2026-06-07 15:19:58
c96ec4830d3a9bce1HZ-2N29FlJT,AI提示词工程师（Prompt Engineer）,易企宣宣传片中心,20-99人,企业服务,大专,1-3年,"接受居家办公, AI训练师, ChatGPT研究员, AI产品运营",11-15K·14薪,北京,,2026-06-07 15:19:58
7e3ef2848fd375fb031439y8FFdQ,AI提示词Prompt工程师（可居家远程）,北京巨有趣网络科技,0-20人,互联网,本科,1-3年,,30-35元/时,北京,,2026-06-07 15:19:58
8aff6605a72cd79e03Nz29S5EVNR,提示词工程师【急招】,中科天玑,100-499人,互联网,硕士,,"发表算法相关优秀论文, 提示词, 其他, 参加算法相关竞赛/获奖, Python",150-200元/天,北京,,2026-06-07 15:19:58
8c643881322cc95c0nB_2tq_FVRV,AI提示词工程师-动画,啊哈娱乐,100-499人,文化艺术/娱乐,学历不限,1-3年,"甲方公司, 五险一金, 带薪假期, 周末双休, 现场办公, MAYA, 1年以下动画设计经验, 1-3年动画设计经验, 2D动画, 3D动画, 动漫, AI提示词",15-25K,北京,,2026-06-07 15:19:58
f4857c7928cf66b00nd50t65GVRT,大模型提示词工程师,中科聚信,100-499人,咨询,本科,3-5年,,15-30K,北京,,2026-06-07 15:19:58
8295d75cd9d4e55403d_0t6-F1pX,提示词工程师,书圈,100-499人,互联网,本科,3-5年,"Python, Flask, MySQL",70-100元/时,北京,,2026-06-07 15:19:58
c6e28f9f12d4bb0f1H1909-_GFRS,提示词工程师,北京新安,20-99人,互联网,本科,,"深度学习, 风控算法, Python, Java, SQL, 参加算法相关竞赛/获奖",150-200元/天,北京,,2026-06-07 15:19:58
e9affaf956d01d360nB53t6_FlVQ,AI提示词工程师,众时科技,20-99人,互联网,本科,1-3年,"AI, AI prompt, Claude Code, Codex",12-24K·14薪,北京,,2026-06-07 15:19:58
c79b5f7cf1120cdb1X1y39S9GFtV,AI绘画提示词工程师,玩星汇聚,0-20人,移动互联网,本科,1-3年,"搜索/推荐, 英文读写能力良好, AI提示词",800-1500元/周,北京,,2026-06-07 15:19:58
82389cc81d0853300nB92dW-FVdW,PE提示词工程师（标注/评测方向）,亿达信息,1000-9999人,计算机软件,本科,1-3年,"Agent, 智能体, PE",11-12K,北京,,2026-06-07 15:19:58
af8fb85975d524260nB_3NS8EVRW,大模型算法工程师（提示词工程 / 多模态）,卓世科技,100-499人,人工智能,本科,3-5年,"团队管理经验, 运筹优化算法, 分布式训练, 大模型算法, 自然语言处理算法, 多模态算法, 大数据处理框架(Spark/Hadoop/Hive), 算法工程化经验, 融合感知算法, MATLAB, 并行计算, 优秀开源项目经历, SQL, 发表算法相关优秀论文, 参加算法相关竞赛/获奖, 模型加速/性能优化",15-25K,北京,,2026-06-07 15:19:58
4589ad0cdd5594a90nVy0921EVtT,提示词工程师,趣领智言(苏州),100-499人,人工智能,本科,5-10年,"MySQL, Python, Flask",20-40K,北京,,2026-06-07 15:19:58
2853a3e0dc7d127b0nR82N-4GFZQ,AI提示词Prompt开发工程师,易佰智汇,20-99人,大数据,本科,3-5年,"PyTorch, Pandas, MySQL, MongoDB, 架构设计经验, Numpy, Python, TensorFlow",10-15K,北京,,2026-06-07 15:19:58
c071aa477a87f06c03N-2d-7E1VR,提示词/智能体开发工程师,中科软,10000人以上,计算机软件,本科,3-5年,"自然语言处理经验, 风控/安全策略经验, 计算机相关专业, Python, SQL",11-15K,北京,,2026-06-07 15:19:58
8808536d247892de0nB82Nm4FFpY,PCB工程师,某中型电子/硬件开发公司,100-499人,电子/硬件开发,大专,3-5年,"Protel, Candence/Allegro, FPC设计经验, PCB设计经验, 电子/自动化相关专业, 开关电源 PCB, 航空电源, Altium Designer, EMC/EMI, 军工",20-25K,北京,,2026-06-07 15:20:19
f4dd7dcd504e6ccf0nB509S8FVRY,地质工程师,北京霖润教育咨询,20-99人,培训/辅导机构,本科,经验不限,,300-900元/天,北京,,2026-06-07 15:20:19
00ef37490d1dda81031y29-4EFpW,车身工程师,重庆博道途工程技术,20-99人,汽车研发/制造,学历不限,3-5年,"车身, 下车身, 上车身, 白车身, catia",15-26K·13薪,北京,,2026-06-07 15:20:19
be478eddb3a7989e0nZ82ty1F1JU,运维工程师,北京国晟华运科技,20-99人,计算机软件,本科,经验不限,,7-12K,北京,,2026-06-07 15:20:19
70e295af72f1730d0nd-0ty8ElZZ,高级大数据开发工程师,中移在线,10000人以上,互联网,本科,3-5年,"智能体, Java, 要求数据开发经验, Doris/Druid, 调优, PostgreSQL, ETL开发经验, 提示词, 数据建模经验, 非外包类, 大模型, 数据平台开发经验, 数据治理经验, Shell, Elasticsearch, BI报表开发经验, Python",14-20K,北京,,2026-06-07 15:20:19
bf738d0af5cbc4ff0nZ42tu_GFBX,PE策略运营专家,小红书,1000-9999人,电子商务,本科,1-3年,"PE专家, 提示词工程师, prompt设计调优, 自动化数据飞轮",20-40K·16薪,北京,,2026-06-07 15:20:19
fff649f807180bd40nZy3N25ElVQ,WAT工程师,永芯科技,100-499人,半导体/芯片,本科,在校/应届,,7-10K,北京,,2026-06-07 15:20:19
8d7040656a9576430nV53N6_F1FQ,工艺工程师,星箭智航,0-20人,仪器仪表,本科,3-5年,,9-14K·14薪,北京,,2026-06-07 15:20:19
e1fe0e4ddf9e64a30ndy2d27FFZS,测试工程师,某大型计算机软件公司,100-499人,计算机软件,本科,1-3年,,35-40K,北京,,2026-06-07 15:20:19
b4765a2e458b2a160nB-3t26GFNZ,测试工程师,京东科技信息技术,10000人以上,电子商务,学历不限,,,400-450元/天,北京,,2026-06-07 15:20:19
d29b44864ed407080nV52t-7FFRS,AI应用工程师实习生（市场培训方向）,神州海文,0-20人,计算机服务,本科,,"大模型应用, 提示词, 算法工程化经验, 大模型算法, 提示词优化, Python",200-400元/天,北京,,2026-06-07 15:20:19
1f6635f186f783bc0nZy39S-GFBQ,工程师,鸿矢科技,0-20人,物联网,大专,经验不限,,2-3K,北京,,2026-06-07 15:20:19
2643c5de2a56b72e0nd93Ny7F1BW,ai项目实施工程师,句子互动,20-99人,互联网,本科,1-3年,"实施交付经验, 计算机相关专业, 提示词工程师",12-20K·14薪,北京,,2026-06-07 15:20:19
e931357b11d5d1460nZ_3Nm9GFJS,高级工程师,北京某中型高性能涂装防护新材料公司,100-499人,化工,本科,5-10年,"防腐涂料, 工业漆",20-28K,北京,,2026-06-07 15:20:19
a0104926d153f2db0nR-2d20EVdQ,工艺工程师,元六鸿远,1000-9999人,智能硬件,本科,经验不限,"不需要出差, 陶瓷经验, 芯片/半导体经验, 半导体经验, 复合材料经验, 量产工程师（PE）经验, 试产工程师（NPI）经验, 电路板/集成电路经验, 电子/通信经验, 无机材料经验, 现场工程师（ME）经验",10-15K·14薪,北京,,2026-06-07 15:20:19
12e740d259ef3c510nd80tm8ElpW,电子工程师,北京飞特尔科技,0-20人,计算机软件,本科,经验不限,,15-30K,北京,,2026-06-07 15:20:40
1ed396c1e16d7d970nd709i6GFBY,硬件工程师,某大型智能硬件公司,1000-9999人,智能硬件,本科,1-3年,,20-21K,北京,,2026-06-07 15:20:40
bb4f74784d0143b40nV72dW7FldT,设备工程师,某大型石油化工环保技术上市公司,1000-9999人,环保,本科,3-5年,"接受无机械设备工程师经验, 不需要出差",25-30K,北京,,2026-06-07 15:20:40
af18ebfe859a49a40nB_3Nu7EVNQ,销售工程师,普利斯特科技有限公司,20-99人,进出口贸易,大专,3-5年,,10-15K,北京,,2026-06-07 15:20:40
cf2880617912d60e0nB63di9EFVS,采购工程师,蓝点触控,100-499人,仪器仪表,本科,经验不限,,13-20K,北京,,2026-06-07 15:20:40
bb0cfc7dc37da8fc0nB83du5GVdV,android工程师,北京安运锦风科技,100-499人,人工智能,本科,3-5年,,25-30K,北京,,2026-06-07 15:20:40
827642eb085bbdf20nB809m6EFZT,全栈工程师,北京椰路智算科技,0-20人,人工智能,本科,3-5年,,15-18K,北京,,2026-06-07 15:20:40
d7f3d66af06ea9980ndz09q9GFZV,环保工程师,户外三宝,20-99人,其他新能源,硕士,经验不限,"环境相关专业, 化工相关专业, 不需长期出差, 接受无环保工程师经验",11-22K·14薪,北京,,2026-06-07 15:20:40
0a91dffd82ab573703F82tq-F1pY,agents 工程师,启明合心,20-99人,人工智能,本科,,,200-300元/天,北京,,2026-06-07 15:20:40
03952c1e584c82c70nd42d60GFNZ,助理工程师,天和(上海),100-499人,房屋建筑工程,本科,3-5年,"工业建筑经验, 暖通专业, 本科, 其他, 施工单位",5-6K,北京,,2026-06-07 15:20:40
26a2a75d93b86b7c0ndz3dW1E1dY,FPGA工程师,北京熵旋芯智科技,0-20人,半导体/芯片,硕士,在校/应届,,30-45K,北京,,2026-06-07 15:20:40
a91fd3f4de83f81f1XV72Ny7FFZT,工艺工程师,中科昊芯,20-99人,半导体/芯片,本科,经验不限,半导体工艺,15-20K,北京,,2026-06-07 15:20:40
1acecbb8dc7be93e0nVy3ty7FVJQ,硬件工程师,天云融创数据科技,100-499人,计算机软件,本科,3-5年,"手机/电脑/通讯终端, 音视频/显示类产品, 通信相关专业, 硬件开发经验, BOM, ESP32, 蓝牙音响, PMU, 射频",15-25K,北京,,2026-06-07 15:20:40
106002005d2ad3360nZ63N25EVpR,采购工程师,盈实佳业,20-99人,通信/网络设备,大专,经验不限,"国内采购, 自带供应商资源, 医疗设备, 零配件, 成品/样品",20-25K,北京,,2026-06-07 15:20:40
63432e2613e9f6320nZ52t-6GVFS,硬件工程师,芯晟捷创,20-99人,半导体/芯片,本科,在校/应届,,11-20K·13薪,北京,,2026-06-07 15:20:40
214c98f9e3a47e7c0nB92N-7FVZU,机械工程师,北京某大型半导体/芯片公司,1000-9999人,半导体/芯片,硕士,1-3年,,20-30K·14薪,北京,,2026-06-07 15:21:03
