职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
a786d32bd7519c6a0nd80tq-E1JR,运维工程师+周末双休,脉山龙,100-499人,企业服务,本科,5-10年,"通信相关专业, Ansible/Salt/Puppet, 系统运维, Python/Shell, 运维经验",17-20K,上海,,2026-06-01 22:40:12
6945c6b515838beb0nB43t67E1tQ,系统运维开发工程师,软通动力,10000人以上,计算机软件,大专,1-3年,"系统运维, IDC机房运维, Python/Shell, Docker, Kubernetes, 服务器",12-15K,上海,,2026-06-01 22:40:12
a48a481f1313c6700nZ42tq7FldV,linux系统运维工程师实习生,天天拍车,1000-9999人,汽车研发/制造,本科,,"网络运维, 系统运维, 桌面运维",150-180元/天,上海,,2026-06-01 22:40:12
63c14f2d29fbe2fc1Hdz3tq1FFFQ,系统运维（招商银行，有加班费）,长亮科技,1000-9999人,计算机软件,本科,3-5年,服务器运维,13-18K,上海,,2026-06-01 22:40:12
8bb3863e1a6aa9c30nB43Ni8GFVW,系统运维工程师,某大型基金公司,100-499人,基金,本科,经验不限,,18-30K·24薪,上海,,2026-06-01 22:40:12
aa4330548f6371710nB60tq-E1ZZ,IT管理与系统运维工程师,上海富芮坤微电子,20-99人,半导体/芯片,大专,1-3年,"系统运维, 网络运维",8-12K·13薪,上海,,2026-06-01 22:40:12
b596d00fd3e5c3570nB43du0EFVX,高级系统运维工程师 (MJ001236),上海悠星网络,500-999人,游戏,大专,3-5年,系统运维,15-25K·14薪,上海,,2026-06-01 22:40:12
ec8feb6763763d860nd52Ny4GVFQ,系统运维专家（IT）,信也科技,1000-9999人,互联网,本科,5-10年,"系统运维, 运维开发/DevOps, 桌面运维, 网络运维, 实施交付运维, Python/Shell, Docker, 通信相关专业, 计算机相关专业, 运维经验, windows, MCSE, AIOps",20-40K·15薪,上海,,2026-06-01 22:40:12
9753f5a45c336f920nZ-09u6EVBR,系统运维工程师,中软国际,10000人以上,计算机软件,本科,3-5年,"Java, 系统运维, Python/Shell, 计算机相关专业",12-17K·13薪,上海,,2026-06-01 22:40:12
2b2e581cd173d63a0nZ-39W4GVRZ,系统运维-26届校招,锦泓时装,1000-9999人,服装/纺织,本科,在校/应届,,8-10K·13薪,上海,,2026-06-01 22:40:12
