职位ID,岗位名称,公司名称,公司规模,公司领域,学历要求,经验要求,关键技能,薪资范围,城市,发布时间,爬取时间
7bc8c84d96c24be71Xx93dq_EFNR,网络工程师(实习生),安恒信息,1000-9999人,信息安全,大专,,"通信/工程相关专业, CCNA/CCNP, 不需要出差, HCNA/HCNP, 接受无网络工程师经验, 计算机相关专业",150-160元/天,北京,,2026-06-01 16:15:18
0f25891b7da84edc0nRy29q8EVBY,网络运维工程师,爱快路由,100-499人,互联网,硕士,5-10年,,20-25K,北京,,2026-06-01 16:15:40
e54577ddb9d45a381HVz2dW7GFBS,网络工程师,斯坦恩能源,20-99人,进出口贸易,本科,1-3年,"计算机相关专业, 通信/工程相关专业, 网络建设/系统集成经验, CAD, 弱电, 网络",10-15K,北京,,2026-06-01 16:15:40
ea494b9a6c5fc35a0nZy2di-F1BY,初级网络工程师,绿色苹果,100-499人,计算机服务,本科,3-5年,"网络运维, 通信相关专业, 计算机相关专业",8-11K,北京,,2026-06-01 16:16:01
057cccd7b85bf44e1XJ529-6E1ZV,网络工程师,荣博兴,20-99人,通信/网络设备,本科,1-3年,"网络安全设备安装调试, 交换机、路由器配置",8-10K,北京,,2026-06-01 16:16:40
232e96ca72e9cdc63nFy29u_F1I~,中级网络工程师,北京金信润天股份公司,100-499人,计算机软件,大专,5-10年,,12-18K,北京,,2026-06-01 16:16:40
7e33f5e5f07d43a20nB-09u8ElVQ,桌面运维工程师（网络管理员）,北京某中型产业投资与科技创新公司,100-499人,互联网,本科,经验不限,"桌面运维, 网络",20-21K,北京,,2026-06-01 16:17:02
6ea625f4afcdbcdd1nN63t-_E1JZ,网络工程师,网瑞达,100-499人,计算机软件,大专,,"网络, Linux, HCIP, HCIE",200-250元/天,北京,,2026-06-01 16:17:44
7b05c9dcc3a555ab0nd739-5GFFY,高级网络运维工程师,德锐士,100-499人,通信/网络设备,大专,经验不限,"网络运维, 计算机相关专业, 华为数通, HCIE, 通讯/网络设备",12-18K·13薪,北京,,2026-06-01 16:17:44
a7c6170bbd631e7d0nZ73Ni4FVJS,计算机网络工程师（全职/实习）,中维数通,20-99人,计算机服务,本科,,,100-180元/天,北京,,2026-06-01 16:18:08
37b7c50ba78d3eaa0nd-2Nm-E1ZV,网络工程师,长虹佳华,1000-9999人,电子商务,本科,1-3年,"CCNP/HCIP等, 网络运维, 运维通信资格证书, 网络架构设计, PMP证书, 有网络工程师经验, 网络交换技术, 运维工程师, 3到5年网络工程师经验, 运维监控, 不需要出差, 1到3年网络工程师经验, 负载均衡技术, 系统集成商, 网络设备, 安全运维, 大型网络运维",10-15K·13薪,北京,,2026-06-01 16:18:08
0c2a579e9a50544d0nZ-3t-6FVRY,运维工程师（一线网络运维做起，校招）,首都在线,500-999人,云计算,本科,在校/应届,"网络运维, IDC机房运维",12-15K,北京,,2026-06-01 16:18:29
ae8ffd858fc60eba1H1429u7GVFV,高级网络规划工程师,汇鑫科服,20-99人,通信/网络设备,本科,10年以上,"有网络工程师经验, 5年以上网络工程师经验, 通信相关专业, 网络架构设计, 大型网络运维, CCNA/HCIA等, CCNP/HCIP等, CCIE/HCIE等, Zabbix/Prometheus, SQL, 运营商, 不需要出差, 系统规划, 传输架构, ICT系统运行, 路由策略, 传输资源",13-17K,北京,,2026-06-01 16:18:52
c7a0969c101845ea0nV72ty4F1ZV,网络运维工程师,北京中京云通信服务,20-99人,运营商/增值服务,本科,3-5年,"网络运维, 通信相关专业, 计算机相关专业, 网络安全相关经验, 运维经验",6-8K,北京,,2026-06-01 16:18:52
f230b813ace38d8703N-2t21FFBT,中级网络工程师,天信瑞安,100-499人,计算机服务,本科,3-5年,"有网络工程师经验, 不需要出差, 3到5年网络工程师经验, 5年以上网络工程师经验, 计算机相关专业, 大型网络运维, CCNP/HCIP等, CCIE/HCIE等",8-13K,北京,,2026-06-01 16:18:52
7add4b27f939b57f1n182dS-FFA~,网络工程师,飞天恒信,20-99人,互联网,大专,1-3年,"网络, 信息安全, 系统集成",12-15K,北京,,2026-06-01 16:18:52
b3fea20fe9c7996c0nV839W-GFJY,网络运维高级工程师,亿宇嘉隆科技,20-99人,互联网,本科,5-10年,"CCIE/HCIE等, 不需要出差, 5年以上网络工程师经验, 信息系统项目管理师, 有网络工程师经验, HCIE, 系统集成商, H3CIE, 计算机相关专业",16-21K·13薪,北京,,2026-06-01 16:18:52
7be8c53db91086070ndy3N66EltW,网络工程师,亿立东方,100-499人,人力资源服务,本科,3-5年,"有网络工程师经验, 甲方企业, 不需要出差, 3到5年网络工程师经验, 计算机相关专业, 大型网络运维, CCNP/HCIP等",15-18K,北京,,2026-06-01 16:18:52
48430057c18be5071nR60tu9F1FY,网络工程师,京东数字科技,1000-9999人,互联网,本科,5-10年,网络运维,20-21K·13薪,北京,,2026-06-01 16:18:52
c36467ad9adffe320nVz0925FlJU,IP网络工程师-2027届实习生岗位,亚信科技,10000人以上,计算机软件,本科,,"系统集成商, 接受无网络工程师经验",150-200元/天,北京,,2026-06-01 16:18:52
1adad0e853ea9bbc1nJ70tq0Flc~,网络工程师,纺织商会,20-99人,进出口贸易,本科,1年以内,"网络安全, 机房运维, IT支持",8-10K,北京,,2026-06-01 16:18:52
0dbb18d684835b661nVz3N28E1pQ,网络工程师,惠安泰网络,20-99人,计算机服务,大专,经验不限,"CCNP证书, HCIP",9-12K,北京,,2026-06-01 16:18:52
bc9184dfd3b8430d1XV82d68GFZY,网络工程师,博科达,20-99人,计算机硬件,本科,经验不限,"网络安全相关经验, 路由器配置, Linux, CCIE证书, Windows, 交换机配置, 网络规划设计",7-12K,北京,,2026-06-01 16:18:52
7d23c0d852168e801nx52tW5GFI~,网络工程师,数码创天,100-499人,信息安全,大专,1-3年,"有网络工程师经验, 1到3年网络工程师经验, 3到5年网络工程师经验, 计算机相关专业, 大型网络实施, IT支持, 信息安全, 网络安全",6-10K,北京,,2026-06-01 16:18:52
de818e9f5c4b978d03xz3NW-FVRS,NOC网络工程师,首信云港,0-20人,通信/网络设备,大专,3-5年,"CCNP/HCIP等, 通信相关专业, 有网络工程师经验, Zabbix/Prometheus, 数据中心运维, CCNA/HCIA等, 大型网络实施, CCIE/HCIE等, 不需要出差, 1年以内网络工程师经验, 1到3年网络工程师经验, 运营商, 大型网络运维",6-8K,北京,,2026-06-01 16:18:52
900d33a366caf5e31XF80tS8EFBV,中高级网络工程师,淇朗,20-99人,计算机软件,本科,1-3年,"计算机相关专业, 网络建设/系统集成经验, 网络安全相关经验, 物联网, 网络, 网络安全",15-20K,北京,,2026-06-01 16:18:52
6f0c696692efded50nB73N65F1dT,网络工程师,金钻芯科技,20-99人,计算机硬件,本科,10年以上,"CCNP/HCIP等, 网络架构设计, 网络, 有网络工程师经验, CCNA/HCIA等, 项目管理, 熟悉Linux等操作系统, 大型网络实施, 计算机相关专业, 3到5年网络工程师经验, 5年以上网络工程师经验, 不需要出差, 系统集成商, 交付, 大型网络运维",13-15K,北京,,2026-06-01 16:18:52
